exp_id,exp_desc,algo,params,test_rmse,train_rmse,train_time
5115,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'goss', 'colsample_bytree': 0.4069249514011331, 'learning_rate': 0.013043214654361686, 'min_child_weight': 90, 'min_split_gain': 0.4274415327625971, 'n_estimators': 300, 'num_leaves': 82, 'reg_alpha': 0.9645648186334145, 'reg_lambda': 0.9616242425766854, 'subsample_for_bin': 60000.0, 'subsample': 1.0}",13.701018539958545,8.836435020673807,38.82152428200061
9326,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.5155130019055709, 'learning_rate': 0.06739503344105094, 'min_child_weight': 160, 'min_split_gain': 0.7966439678474594, 'n_estimators': 600, 'num_leaves': 146, 'reg_alpha': 0.0025361424319769927, 'reg_lambda': 0.09469342010644329, 'subsample_for_bin': 180000.0, 'subsample': 0.7265238319186288}",3.6738020657315813,3.4436059961566405,26.30435891900015
6073,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'goss', 'colsample_bytree': 0.6610684850387241, 'learning_rate': 0.010456508529120176, 'min_child_weight': 145, 'min_split_gain': 0.6321595051150228, 'n_estimators': 200, 'num_leaves': 82, 'reg_alpha': 0.7766388572186089, 'reg_lambda': 0.5855359259408144, 'subsample_for_bin': 300000.0, 'subsample': 1.0}",3.7093882804915457,3.6388656537188937,24.74998131800021
909,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.49469376079185334, 'learning_rate': 0.03179416762385512, 'min_child_weight': 150, 'min_split_gain': 0.8621409463339186, 'n_estimators': 600, 'num_leaves': 195, 'reg_alpha': 0.005850149237906841, 'reg_lambda': 0.050637855408609225, 'subsample_for_bin': 140000.0, 'subsample': 0.9203903593717339}",3.668137518654994,3.359185558407778,45.12862993700037
2011,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.47169952568534335, 'learning_rate': 0.02455675569972115, 'min_child_weight': 70, 'min_split_gain': 0.9156021658962983, 'n_estimators': 600, 'num_leaves': 197, 'reg_alpha': 0.6309726139444727, 'reg_lambda': 0.1713958255268057, 'subsample_for_bin': 100000.0, 'subsample': 0.11860155392528826}",3.68274113589309,3.563229242208565,41.51183297099942
1317,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.9654731771359026, 'learning_rate': 0.03061795914298368, 'min_child_weight': 135, 'min_split_gain': 0.8814241014600497, 'n_estimators': 600, 'num_leaves': 195, 'reg_alpha': 0.07314594468079694, 'reg_lambda': 0.2918301656307443, 'subsample_for_bin': 140000.0, 'subsample': 0.9998188681100861}",3.6757312539730544,3.3203934817462772,76.73931638700014
4315,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.8312827559704596, 'learning_rate': 0.017174454326876094, 'min_child_weight': 70, 'min_split_gain': 0.8360189583560999, 'n_estimators': 500, 'num_leaves': 114, 'reg_alpha': 0.4960579309397729, 'reg_lambda': 0.005591529871064059, 'subsample_for_bin': 80000.0, 'subsample': 0.9779475185588902}",3.6715650962667654,3.273904824012021,76.33535167500031
7205,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.8317383765192528, 'learning_rate': 0.017737434292590684, 'min_child_weight': 55, 'min_split_gain': 0.8344359091054111, 'n_estimators': 500, 'num_leaves': 108, 'reg_alpha': 0.631976056367553, 'reg_lambda': 0.14809976115017168, 'subsample_for_bin': 80000.0, 'subsample': 0.9705207205312287}",3.671848811231676,3.2625387118965774,67.73527974300032
4319,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.8946945979974492, 'learning_rate': 0.019450354979929703, 'min_child_weight': 80, 'min_split_gain': 0.9894311538094231, 'n_estimators': 500, 'num_leaves': 106, 'reg_alpha': 0.47758693228206717, 'reg_lambda': 0.3120407862250958, 'subsample_for_bin': 80000.0, 'subsample': 0.9991565957705314}",3.6733108439009206,3.298610223808887,83.32850298299945
4093,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.7968767924400815, 'learning_rate': 0.046304087193718216, 'min_child_weight': 55, 'min_split_gain': 0.8627377845839962, 'n_estimators': 500, 'num_leaves': 122, 'reg_alpha': 0.06520842724908471, 'reg_lambda': 0.01924936764386364, 'subsample_for_bin': 60000.0, 'subsample': 0.8066763865562983}",3.675380291407644,3.3225744727354467,34.09151229899999
